envSteps,gradientSteps,totalReward,totalCuriosity,worldModelLoss,reconstructionLoss,rewardPredictorLoss,klLoss,teamItemLoss,ltmRewardLoss,gridLoss,varLoss,curiosityLoss,actorLoss,entropies,criticLoss,curiosityCriticLoss,advantages,curiosityAdvantages,criticValues,curiosityCriticValues
125000,350,0.0,1.23,418.8302,331.9448,0.2765,49.8231,0.1262,0.0005,36.6591,0.0,0.2883,-0.0745,1.3894,0.2414,0.7173,0.0,0.0309,0.0051,0.5803
187500,700,0.0,1.08,144.4127,100.4944,0.1631,27.9849,0.0357,0.0001,15.7345,0.0,0.0866,-0.25,0.5486,0.4795,0.6117,-0.0002,0.0288,0.0149,0.9562
250000,1050,0.0,0.38,137.3028,86.5694,0.1412,30.1967,0.0274,0.0,20.368,0.0,0.1113,-0.1122,0.3141,0.6391,0.5329,-0.0004,0.0173,0.0272,1.5759
312500,1400,0.0,0.5,51.9147,27.8023,0.1348,17.1062,0.0157,0.0,6.8557,0.0,0.0217,-0.1095,0.4957,0.6879,0.7099,-0.0006,0.0142,0.0365,2.3797
375000,1750,0.0,0.29,67.0889,38.1601,0.1327,19.2266,0.0127,0.0,9.5567,0.0,0.0378,-0.2172,0.6781,0.6905,0.7562,-0.0006,-0.0116,0.0436,0.678
437500,2100,0.0,1.84,55.4552,32.0163,0.1319,15.7694,0.0137,0.0,7.5238,0.0,0.0599,-0.1849,0.6563,0.6707,0.5685,-0.0006,0.0307,0.0494,1.762
500000,2450,0.0,1.08,37.5447,14.8649,0.1313,14.7751,0.0075,0.0,7.766,0.0,0.0879,-0.0866,0.4662,0.6588,0.2869,-0.0006,0.0053,0.0515,2.802
562500,2800,0.0,1.04,47.2516,20.7462,0.1311,17.8394,0.0103,0.0,8.5248,0.0,0.0408,-0.0599,0.5977,0.6666,0.5874,-0.0008,0.0014,0.0503,1.6509
625000,3150,0.0,1.56,37.6597,14.0418,0.1323,16.4227,0.0098,0.0,7.0531,0.0,0.0144,-0.1553,0.7809,0.6627,1.0805,-0.0005,0.0505,0.0505,1.1872
687500,3500,0.0,1.39,31.3587,10.513,0.1308,14.6837,0.0033,0.0,6.0279,0.0,0.027,-0.0704,0.4361,0.6156,0.5289,-0.0002,0.0148,0.0564,3.7665
750000,3850,0.0,1.46,25.5019,7.3978,0.1308,13.0172,0.003,0.0,4.953,0.0,0.0151,-0.2065,0.8896,0.6592,0.9537,-0.0005,0.0723,0.0512,2.387
812500,4200,0.0,2.48,32.2128,9.6333,0.1309,15.8527,0.007,0.0,6.5889,0.0,0.0484,-0.1087,0.4066,0.6008,0.4411,-0.0007,-0.0186,0.0582,3.8687
875000,4550,0.0,4.52,37.302,16.1078,0.1307,15.5476,0.0021,0.0,5.5137,0.0,0.0068,-0.3025,0.7283,0.6441,0.5018,-0.0008,-0.0008,0.0534,2.8769
937500,4900,0.0,3.38,40.4066,19.1012,0.1309,15.6434,0.0033,0.0,5.5278,0.0,0.0241,-0.0169,0.3772,0.6182,1.383,-0.0008,-0.0332,0.0564,2.5449
1000000,5250,0.0,4.38,32.7708,11.7024,0.1307,15.1219,0.003,0.0,5.8129,0.0,0.0216,-0.0705,0.4556,0.6241,0.737,-0.0008,0.064,0.0561,4.3618
1062500,5600,0.0,3.91,38.4374,17.6844,0.1307,15.8243,0.0032,0.0,4.7948,0.0,0.0817,-0.131,0.5795,0.6438,0.9422,-0.0009,0.0194,0.0539,2.9908
1125000,5950,0.0,1.69,40.6635,18.9611,0.1307,16.1001,0.0017,0.0,5.47,0.0,0.0323,-0.1004,0.4814,0.6562,0.9328,-0.0008,0.05,0.0521,4.3095
1187500,6300,3.06,4.58,34.2254,11.308,0.1307,18.6897,0.0025,0.0,4.0944,0.0,0.0538,-0.1471,0.4576,0.6649,0.7358,-0.0007,-0.0089,0.0506,4.9242
