envSteps,gradientSteps,totalReward,totalCuriosity,worldModelLoss,reconstructionLoss,rewardPredictorLoss,klLoss,teamItemLoss,ltmRewardLoss,gridLoss,varLoss,curiosityLoss,actorLoss,entropies,criticLoss,curiosityCriticLoss,advantages,curiosityAdvantages,criticValues,curiosityCriticValues
150000,400,0.0,1.35,330.9292,262.1696,0.3527,36.5305,0.0672,0.0006,31.8086,0.0,0.0958,-0.1342,1.7173,0.1184,0.6503,0.0,-0.0012,0.0019,0.111
225000,800,0.0,0.49,157.7397,113.4859,0.1751,26.8086,0.0372,0.0002,17.2327,0.0,0.0542,-0.3738,1.1822,0.3641,0.5867,-0.0001,-0.0026,0.0095,0.04
300000,1200,0.0,0.92,57.382,33.5815,0.148,15.4541,0.0111,0.0,8.1873,0.0,0.0138,-0.1961,0.8907,0.6101,0.7084,-0.0002,0.0029,0.024,0.2139
375000,1600,0.0,0.69,73.9914,42.4851,0.139,21.368,0.0179,0.0,9.9814,0.0,0.0123,-0.3214,0.9829,0.693,0.5192,-0.0004,0.003,0.0411,0.1955
450000,2000,0.0,0.58,49.1414,25.1067,0.1354,15.8832,0.0063,0.0,8.0099,0.0,0.0109,-0.25,1.0593,0.6524,0.539,-0.0005,0.0013,0.0523,0.1842
525000,2400,0.0,0.78,74.6342,36.8136,0.1338,28.2842,0.0132,0.0,9.3894,0.0,0.0168,-0.1935,0.995,0.6389,0.4894,-0.0007,0.0026,0.0543,0.116
600000,2800,0.0,1.08,28.7429,11.5482,0.1324,12.3436,0.0083,0.0,4.7104,0.0,0.0135,-0.3011,0.9196,0.5967,0.7476,-0.0006,0.0048,0.0586,0.4603
675000,3200,0.0,1.27,43.443,22.3141,0.1318,14.6061,0.0054,0.0,6.3856,0.0,0.0187,-0.2326,0.8368,0.601,0.7098,-0.0007,-0.0015,0.0583,0.3788
750000,3600,0.0,1.66,34.2235,13.4062,0.1314,16.709,0.0097,0.0,3.9671,0.0,0.006,-0.2784,0.9544,0.5865,0.4721,-0.0006,-0.0006,0.0595,1.0461
825000,4000,0.0,5.37,23.0726,5.6837,0.1312,14.491,0.0044,0.0,2.7623,0.0,0.0046,-0.2526,0.9121,0.5666,0.9367,-0.0007,0.013,0.0612,1.3452
900000,4400,0.0,2.05,32.5035,12.3788,0.131,16.7936,0.009,0.0,3.191,0.0,0.0089,-0.2398,0.9824,0.5846,0.8775,-0.0006,0.0032,0.0596,0.8314
975000,4800,0.0,1.87,21.2037,5.2863,0.131,13.198,0.0015,0.0,2.5869,0.0,0.0078,-0.2747,0.9047,0.5503,0.8099,-0.0005,-0.0012,0.0622,0.7069
1050000,5200,0.0,1.67,22.4633,5.4446,0.1309,13.8427,0.005,0.0,3.0401,0.0,0.0033,-0.2592,1.1289,0.5544,0.6547,-0.0006,-0.0019,0.062,1.0045
1125000,5600,0.0,4.22,22.7944,6.6508,0.1308,13.6161,0.0114,0.0,2.3853,0.0,0.0051,-0.2575,0.8184,0.5769,0.5377,-0.0006,0.0042,0.0603,2.2372
1200000,6000,0.0,5.67,18.1304,4.3598,0.1308,11.9241,0.008,0.0,1.7077,0.0,0.0017,-0.2514,0.8916,0.5788,0.7284,-0.0006,0.0155,0.0601,2.1202
1275000,6400,0.0,4.91,25.9165,9.0428,0.1308,13.7142,0.0049,0.0,3.0238,0.0,0.0023,-0.2504,1.0526,0.5769,0.8618,-0.0006,-0.002,0.0602,1.2249
1350000,6800,0.0,6.19,28.1949,11.1658,0.1307,14.8929,0.0076,0.0,1.9978,0.0,0.003,-0.2869,1.1049,0.5528,0.6214,-0.0004,-0.0078,0.0617,1.891
1425000,7200,0.0,3.48,22.5902,6.9319,0.1307,13.0853,0.0019,0.0,2.4403,0.0,0.003,-0.19,0.9225,0.5685,0.6366,-0.0006,-0.0123,0.0609,2.9524
1500000,7600,0.0,5.53,29.6118,12.6021,0.1307,14.3241,0.0032,0.0,2.5517,0.0,0.004,-0.2657,1.0837,0.5582,0.6161,-0.0005,0.0061,0.0615,2.6559
1575000,8000,0.0,6.54,29.206,10.8945,0.1307,15.5084,0.008,0.0,2.6644,0.0,0.0075,-0.21,1.0494,0.5975,0.7626,-0.0008,0.0001,0.0586,1.8417
1650000,8400,0.0,4.55,22.3908,9.0652,0.1307,12.1012,0.0052,0.0,1.0885,0.0,0.0013,-0.2105,0.8624,0.5741,1.0121,-0.0005,0.0326,0.0604,2.5762
1725000,8800,2.07,27.06,24.4929,8.2619,0.1307,13.0928,0.0053,0.0,3.0023,0.0,0.0161,-0.246,0.8445,0.5897,1.0946,-0.0006,0.0335,0.0592,4.0517
1800000,9200,0.0,8.21,34.5716,10.0437,0.1309,20.2636,0.0111,0.0,4.1222,0.0,0.0046,-0.2044,0.8691,0.5987,0.7033,-0.0007,0.0093,0.0585,3.8877
1875000,9600,1.03,3.16,37.3097,12.3539,0.1308,20.919,0.0061,0.0,3.9,0.0,0.0105,-0.2303,0.9998,0.3845,0.7662,0.0019,0.0016,0.0821,4.4039
1950000,10000,60.82,9.78,36.1237,15.67,0.1308,15.6804,0.0093,0.0,4.6333,0.0,0.0072,-0.1928,1.0612,0.6466,0.8238,0.0028,0.0072,0.2078,4.2166
2025000,10400,36.14,13.88,33.9639,15.1817,0.1314,15.6654,0.0065,0.0,2.9788,0.0,0.0123,-0.2554,1.0362,0.4879,1.049,-0.0001,0.0181,0.3916,1.6286
2100000,10800,42.57,11.97,30.0027,11.9706,0.1314,15.478,0.0052,0.0,2.4174,0.0,0.0078,-0.1576,0.9026,0.6295,0.9769,-0.0028,-0.0199,0.3389,2.0886
2175000,11200,55.99,11.61,49.8958,18.1652,0.1431,25.1648,0.0041,0.0,6.4185,0.0,0.0074,-0.2326,1.1132,0.3131,1.2983,-0.0031,0.0484,0.2719,1.7058
2250000,11600,52.38,10.02,39.8772,15.9632,0.1315,19.9346,0.0075,0.0,3.8404,0.0,0.0071,-0.1675,1.1417,0.6995,1.6987,0.0014,0.0751,0.2158,1.8461
2325000,12000,56.75,7.05,47.653,16.0512,0.1451,25.0789,0.0062,0.0,6.3715,0.0,0.004,-0.1778,1.3083,0.5295,1.02,-0.0022,-0.0093,0.1517,2.0713
2400000,12400,50.6,7.94,34.8636,13.7081,0.1491,18.8727,0.0048,0.0,2.129,0.0,0.0111,-0.3204,1.1471,0.6816,1.0046,-0.001,-0.0271,0.1283,2.2831
2475000,12800,61.89,4.39,54.1133,24.1854,0.1408,24.1974,0.0067,0.0,5.583,0.0,0.0209,-0.2254,1.2347,0.6618,1.1398,-0.0011,0.0497,0.1181,2.1367
2550000,13200,63.71,6.69,36.7944,13.6409,0.1575,19.9217,0.0075,0.0,3.0669,0.0,0.0101,-0.1693,1.157,0.6783,1.4981,-0.0013,0.021,0.1198,2.5677
2625000,13600,0.0,1.88,54.7367,15.708,0.2939,33.4039,0.0056,0.0,5.3253,0.0,0.0189,-0.2213,1.3732,0.6779,1.3424,-0.0015,-0.0613,0.1218,1.8775
2700000,14000,12.49,9.82,45.9424,12.8892,0.1409,28.5606,0.0054,0.0,4.3462,0.0,0.0071,-0.2943,1.3978,0.6686,1.4487,-0.0014,-0.0113,0.1278,2.3104
2775000,14400,61.58,9.21,56.1353,14.4453,0.2387,36.5775,0.0056,0.0,4.8682,0.0,0.012,-0.3532,1.4598,0.5073,1.2977,-0.0011,-0.0215,0.213,1.8111
2850000,14800,60.78,8.99,34.9447,9.6128,0.14,23.0658,0.0074,0.0,2.1187,0.0,0.0037,-0.2898,1.4957,0.5533,1.0924,-0.003,-0.0167,0.2184,1.8681
2925000,15200,55.78,3.82,31.8966,9.5944,0.1383,20.3377,0.0061,0.0,1.8202,0.0,0.0041,-0.3472,1.2479,0.6414,0.8712,0.0004,-0.0303,0.2074,2.0893
3000000,15600,60.89,3.61,47.7097,9.5823,0.1829,34.4218,0.0078,0.0,3.5149,0.0,0.0083,-0.2492,1.3451,0.6817,1.0284,-0.0026,-0.0096,0.2236,0.6333
3075000,16000,62.57,4.01,33.6369,7.8588,0.1595,23.1316,0.0046,0.0,2.4824,0.0,0.0058,-0.3254,1.255,0.5648,1.0741,-0.0032,-0.0088,0.2447,0.7788
3150000,16400,60.94,6.36,34.4819,8.5512,0.1861,23.9846,0.0035,0.0,1.7565,0.0,0.0092,-0.2371,1.3819,0.6617,1.1019,-0.0023,0.0425,0.2263,0.8898
3225000,16800,0.0,10.23,35.7864,8.7322,0.1563,24.993,0.004,0.0,1.9009,0.0,0.0046,-0.3246,1.336,0.5056,1.1605,-0.0033,0.0241,0.2499,1.894
3300000,17200,53.29,8.39,36.5397,7.0024,0.1862,27.2903,0.0042,0.0,2.0567,0.0,0.0089,-0.1646,1.3021,0.6143,1.0458,-0.0029,0.0509,0.2379,5.0115
3375000,17600,59.46,13.5,28.4663,5.3196,0.2111,21.4895,0.0038,0.0,1.4423,0.0,0.0062,-0.1362,1.3485,0.7417,1.2776,0.0052,0.1032,0.228,4.0044
3450000,18000,33.26,8.66,39.063,7.0418,0.1326,29.9105,0.0064,0.0,1.9717,0.0,0.0032,-0.2271,1.3356,0.6618,1.0736,-0.0035,-0.0201,0.2345,2.1376
3525000,18400,0.0,53.55,28.603,5.3235,0.1693,22.3239,0.0068,0.0,0.7794,0.0,0.0069,-0.1491,1.3721,0.7289,0.8338,0.0151,0.0627,0.327,5.9738
3600000,18800,43.89,24.21,35.754,6.3577,0.1449,27.8273,0.0064,0.0,1.4177,0.0,0.0081,-0.2239,1.3574,0.6212,0.928,-0.0013,0.0258,0.4112,7.6325
3675000,19200,36.15,17.35,25.6163,5.489,0.1507,19.1386,0.0112,0.0,0.8269,0.0,0.0017,-0.2325,1.3094,0.6592,1.3194,-0.0042,0.0208,0.4357,4.628
3750000,19600,28.9,11.1,41.3557,7.0412,0.1584,31.8808,0.0116,0.0,2.2636,0.0,0.0071,-0.3204,1.168,0.6763,0.9228,0.024,-0.079,0.5213,4.6274
3825000,20000,0.47,20.45,60.3908,10.4297,0.1887,45.7247,0.0123,0.0,4.0354,0.0,0.0129,-0.3004,1.3949,0.5482,1.2212,-0.0095,0.0703,0.7776,4.1786
3900000,20400,23.95,9.25,38.0034,6.4793,0.1689,29.4083,0.0066,0.0,1.9257,0.0145,0.015,-0.2242,1.3864,0.6461,1.0539,0.0,-0.0218,0.5251,3.2613
3975000,20800,25.86,15.94,25.245,4.6791,0.1494,19.1685,0.0063,0.0,1.0848,0.157,0.0026,-0.3197,1.2738,0.596,0.9263,0.0019,-0.015,0.6021,5.9432
4050000,21200,12.42,8.69,28.2599,5.5437,0.1829,21.0019,0.0116,0.0,1.4227,0.0971,0.0041,-0.2012,1.4261,0.4485,0.9825,-0.0099,-0.0561,0.8641,3.9154
4125000,21600,7.23,8.13,34.4497,5.6636,0.1772,25.6489,0.007,0.0,2.6855,0.2674,0.0015,-0.2579,1.5131,0.7762,1.1663,0.0042,0.0238,0.8173,1.7513
4200000,22000,34.17,7.85,32.9878,8.0461,0.1377,22.7661,0.0045,0.0,1.9038,0.1296,0.0053,-0.2727,1.1697,0.5174,1.2642,-0.0019,-0.0069,0.771,1.6407
4275000,22400,11.31,15.29,27.8503,7.7764,0.1307,19.0786,0.0064,0.0,0.7585,0.0997,0.0024,-0.318,1.114,0.5371,1.0125,-0.006,-0.0194,0.8499,4.5949
4350000,22800,0.0,1.73,31.1579,8.4692,0.1409,21.0195,0.0078,0.0,1.4071,0.1133,0.0042,-0.3219,1.3764,0.5994,1.1299,-0.0057,-0.0147,0.8303,2.4544
4425000,23200,6.14,7.38,25.8078,5.8474,0.1381,18.2459,0.0032,0.0,0.8782,0.695,0.0057,-0.258,1.5003,0.6396,0.9586,-0.0062,0.0106,0.9077,1.907
4500000,23600,55.64,8.2,26.5465,6.1269,0.1493,18.4626,0.0059,0.0,1.203,0.5988,0.0075,-0.2185,1.326,0.6916,0.9021,0.01,-0.0008,1.1217,2.7396
4575000,24000,44.44,9.25,31.5671,8.6209,0.1507,20.7824,0.0032,0.0,1.5757,0.4341,0.0093,-0.2246,1.2278,0.6592,1.1418,-0.0003,0.058,1.3445,2.5405
4650000,24400,43.61,12.85,27.5414,7.1959,0.1307,18.5665,0.0113,0.0,1.2147,0.4223,0.0049,-0.2855,1.2981,0.6351,1.3107,-0.0019,0.0337,1.3082,3.4419
4725000,24800,30.16,61.62,27.4939,5.8873,0.1501,19.8584,0.0026,0.0,0.9492,0.6462,0.0033,-0.2538,1.2046,0.6849,0.9508,-0.0007,0.0299,1.3874,6.4146
4800000,25200,29.06,19.15,29.5921,7.5734,0.1475,19.9744,0.0041,0.0,1.3054,0.5873,0.0101,-0.185,1.1918,0.6407,1.1541,-0.0063,-0.0107,1.4633,3.3853
4875000,25600,26.71,17.13,33.1824,7.7733,0.1444,22.8695,0.0034,0.0,1.6994,0.6923,0.0116,-0.2135,1.2722,0.6668,1.0564,0.011,-0.0296,1.5068,4.4658
4950000,26000,42.53,18.18,33.71,6.9937,0.1354,23.639,0.0078,0.0,2.3598,0.5743,0.0124,-0.2451,1.3416,0.7423,0.9912,-0.004,-0.0257,1.4371,3.5862
5025000,26400,25.81,28.23,30.2919,7.0224,0.1479,20.9079,0.0017,0.0,1.685,0.5271,0.0127,-0.1994,1.1565,0.6549,1.0161,-0.0039,-0.0196,1.4356,7.2208
5100000,26800,36.4,24.2,34.9818,9.0474,0.1397,23.5308,0.0014,0.0,1.8939,0.3686,0.0123,-0.2231,1.2042,0.5916,1.082,-0.0066,-0.0366,1.4349,4.6196
5175000,27200,35.92,27.8,30.4642,7.9718,0.1398,20.3243,0.001,0.0,1.2375,0.7898,0.0086,-0.268,1.2403,0.6999,1.1477,0.0197,0.0258,1.4497,3.6593
5250000,27600,36.25,19.43,39.8245,7.9756,0.1559,28.6934,0.0056,0.0,2.5679,0.426,0.0076,-0.1963,1.3008,0.7769,1.0771,-0.0036,-0.0873,1.4698,3.2552
5325000,28000,28.16,38.66,28.2294,6.9056,0.1405,19.6677,0.0082,0.0,0.982,0.5253,0.0032,-0.1806,1.0985,0.6202,0.7283,-0.0089,0.0032,1.3985,8.354
5400000,28400,32.02,65.7,34.4772,7.6055,0.1665,23.3904,0.0075,0.0,2.2917,1.0156,0.0198,-0.2284,1.3642,0.7989,1.0576,-0.0126,-0.0112,1.3884,8.4227
5475000,28800,17.63,17.12,41.7155,10.3969,0.152,27.1921,0.0055,0.0,3.5973,0.3718,0.0146,-0.2274,1.3302,0.5815,1.04,-0.0113,-0.054,1.1453,4.7018
5550000,29200,36.37,19.19,35.385,9.6829,0.1307,22.6306,0.0019,0.0,1.8691,1.0699,0.0261,-0.2298,1.3317,0.7991,1.2847,0.0016,0.0481,1.2645,2.86
5625000,29600,31.63,16.76,30.0074,6.5956,0.1413,20.3888,0.0015,0.0,1.7556,1.1245,0.0072,-0.2487,1.2394,0.7526,1.2446,0.0129,0.0627,1.4226,4.2752
5700000,30000,39.29,19.0,33.5335,8.7671,0.1417,22.4071,0.005,0.0,1.3577,0.8548,0.0069,-0.2368,1.3238,0.7683,0.9871,0.0039,-0.0715,1.5071,4.7423
5775000,30400,44.09,33.92,34.0947,9.4603,0.1557,21.3062,0.0017,0.0,1.986,1.1848,0.0229,-0.1978,1.3445,0.6906,0.8022,0.0043,-0.0377,1.6077,6.4588
5850000,30800,51.8,50.1,34.5415,8.7987,0.1485,22.6935,0.0034,0.0,1.7707,1.1267,0.0099,-0.2279,1.3919,0.8645,1.2106,0.0125,-0.0046,1.6659,3.2093
5925000,31200,31.17,7.42,39.8492,11.5125,0.1397,25.0193,0.0057,0.0,2.185,0.987,0.0112,-0.2226,1.4005,0.7074,1.158,-0.0039,0.0201,1.6802,2.495
6000000,31600,31.26,10.24,33.5523,10.4443,0.1594,20.1953,0.0058,0.0,1.6076,1.1398,0.0106,-0.2376,1.2801,0.807,1.6974,-0.0051,0.0631,2.0184,2.2173
6075000,32000,31.27,11.99,36.7065,11.3093,0.1414,22.8594,0.003,0.0,1.6307,0.7626,0.007,-0.2013,1.2733,0.7299,1.4028,0.0004,-0.0507,1.7942,3.2729
6150000,32400,25.97,10.82,32.4861,9.5031,0.1401,20.8564,0.0029,0.0,1.154,0.8295,0.0105,-0.239,1.26,0.6791,1.0183,-0.0053,0.014,1.4862,4.5995
6225000,32800,28.58,11.7,38.5783,14.0335,0.1307,21.7731,0.0026,0.0,1.8684,0.7701,0.0111,-0.1854,1.4158,0.6451,1.2431,-0.0212,-0.0648,1.4013,3.6294
6300000,33200,25.89,9.23,34.9198,11.418,0.1517,18.9694,0.0014,0.0,2.8319,1.5473,0.014,-0.2215,1.3715,0.7851,1.0444,0.0038,0.0041,1.3566,2.956
6375000,33600,25.86,8.09,34.1617,12.0799,0.155,19.7358,0.003,0.0,1.3929,0.795,0.0113,-0.2622,1.3165,0.6915,0.8794,0.0083,0.0247,1.2682,3.7173
6450000,34000,25.83,29.61,39.5549,14.7805,0.1594,20.9666,0.0011,0.0,2.2253,1.422,0.0229,-0.24,1.407,0.798,1.3925,-0.009,0.1361,1.0448,4.349
6525000,34500,26.04,33.35,30.5318,9.4019,0.1575,18.9613,0.0011,0.0,1.3583,0.6517,0.0167,-0.1416,1.2655,0.5881,0.79,-0.0183,0.0394,1.2338,5.9775
6600000,35000,36.4,35.09,25.2367,6.456,0.1358,17.1282,0.0011,0.0,0.7568,0.7589,0.0096,-0.2457,1.305,0.6933,1.0342,0.0,-0.0078,1.0164,8.6634
6675000,35500,26.77,17.24,43.1461,11.5682,0.1601,28.5615,0.002,0.0,1.9323,0.9219,0.0049,-0.2313,1.4073,0.8091,1.0425,-0.0198,0.0201,1.2424,3.51
6750000,36000,27.05,35.64,35.2037,9.5798,0.179,21.4808,0.0016,0.0,2.2217,1.7408,0.0322,-0.2594,1.3793,0.8531,1.2376,-0.0048,0.0454,1.4893,3.2156
6825000,36500,36.41,34.63,27.9819,8.1752,0.1525,18.0382,0.0017,0.0,1.0092,0.6051,0.0178,-0.2056,1.2536,0.7203,0.8067,0.0088,-0.0476,1.1211,6.6181
6900000,37000,51.54,11.94,43.0128,13.0829,0.1335,26.0451,0.0018,0.0,2.305,1.4445,0.0541,-0.2622,1.3331,1.0484,1.1623,0.0141,-0.0499,1.1956,3.3341
6975000,37500,56.34,9.8,34.5282,12.2394,0.1338,20.0836,0.0009,0.0,1.3752,0.6952,0.0542,-0.2377,1.4792,0.6947,0.9088,-0.0139,-0.1095,1.0683,3.8257
7050000,38000,51.7,16.09,36.9799,8.1002,0.1503,25.9851,0.0031,0.0,1.9208,0.8204,0.0313,-0.1986,1.6086,0.8255,1.2013,-0.0215,-0.0154,1.2159,2.4191
